NO_OF_FRAMES	1200
NO_OF_CAMERAS	7
NO_OF_MARKERS	3
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2014-06-30, 12:59:36	3231.27037116
DATA_INCLUDED	3D
MARKER_NAMES	HIP	KNEE	ANKLE
Frame	Time	HIP X	HIP Y	HIP Z	KNEE X	KNEE Y	KNEE Z	ANKLE X	ANKLE Y	ANKLE Z	
179	0.74583	766.910	803.400	851.596	776.893	828.676	430.364	788.053	885.588	106.730
180	0.75000	766.935	803.444	851.611	776.919	828.587	430.364	788.015	885.697	106.698
181	0.75417	766.894	803.440	851.552	776.896	828.701	430.384	788.000	885.543	106.807
182	0.75833	766.919	803.408	851.620	776.917	828.617	430.377	788.006	885.535	106.849
183	0.76250	766.873	803.286	851.543	776.906	828.617	430.311	788.016	885.556	106.813
184	0.76667	766.974	803.303	851.582	776.878	828.594	430.350	788.091	885.564	106.919
185	0.77083	766.903	803.328	851.597	776.815	828.603	430.390	787.960	885.497	106.743
186	0.77500	766.860	803.248	851.559	776.867	828.571	430.320	788.085	885.640	106.816
187	0.77917	766.857	803.262	851.604	776.826	828.546	430.351	788.027	885.660	106.732
188	0.78333	766.951	803.261	851.612	776.816	828.522	430.331	788.086	885.722	106.782
189	0.78750	766.950	803.234	851.556	776.832	828.561	430.381	787.969	885.623	106.703
190	0.79167	766.888	803.214	851.545	776.867	828.567	430.403	788.039	885.713	106.718
191	0.79583	766.849	803.157	851.541	776.805	828.532	430.352	788.140	885.508	106.926
192	0.80000	766.911	803.157	851.606	776.837	828.523	430.360	787.999	885.633	106.884
193	0.80417	766.847	803.098	851.635	776.813	828.569	430.387	788.086	885.628	106.725
194	0.80833	766.845	803.154	851.570	776.811	828.473	430.386	788.109	885.598	106.911
195	0.81250	766.838	803.048	851.621	776.785	828.492	430.400	788.122	885.560	106.879
196	0.81667	766.868	803.077	851.585	776.768	828.520	430.393	788.068	885.606	106.879
